Question,Answer
What is mental health?,"We all have mental health which is made up of our beliefs, thoughts, feelings and behaviours."
What do I do if the support doesn't help?,"It can be difficult to find the things that will help you, as different things help different people. It's important to be open to a range of approaches and to be committed to finding the right help and to continue to be hopeful, even when some things don't work out."
 Can you prevent mental health problems?,"We can all suffer from mental health challenges, but developing our wellbeing, resilience, and seeking help early can help prevent challenges becoming serious."
Are there cures for mental health problems?,"It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help."
What causes mental health problems?,"Challenges or problems with your mental health can arise from psychological, biological, and social, issues, as well as life events."
What do I do if I'm worried about my mental health?,"The most important thing is to talk to someone you trust. This might be a friend, colleague, family member, or GP. In addition to talking to someone, it may be useful to find out more information about what you are experiencing. These things may help to get some perspective on what you are experiencing, and be the start of getting help."
How do I know if I'm unwell?,"If your beliefs , thoughts , feelings or behaviours have a significant impact on your ability to function in what might be considered a normal or ordinary way, it would be important to seek help."
What should I do if I'm worried about a friend or relative?,This may depend on your relationship with them. Gently encouraging someone to seek appropriate support would be helpful to start with.
How do I deal with someone telling me what to do?,"Some people may advise you on good evidence of what works with the best of intentions, but it's important to find out what works best for you."
What causes depression?,"We all have days when we feel down, but those feelings usually pass without having too much impact on our lives. But if they last beyond a couple of weeks or you feel as though things are getting worse, it could be a sign that you’re experiencing depressio"
How can I tell if someone has a mental health problem?,"Common mental health problems such as depression and anxiety affect one in four people. But it’s still something that lots of people find hard to talk about, which can mean that many people keep their feelings about having a mental health problem a secret, even from close family and friends. You can’t always tell if someone has a mental illness – people might look as though they’re fine and doing well, when actually they’re silently s"
How can I speak to and help someone with a mental health problem like depression or anxiety?,"Perhaps the most important thing you can do is encourage them to seek appropriate treatment. You can reassure them by letting them know that help is out there, and that you will be there to support them."
What do I do if it is an emergency?,"If you’re feeling suicidal or are concerned about someone else, confide in someone you know, contact your GP, call 999, go to A&E or call the Samaritans (116 123). You can also find more information on the Mind website, through Mind’s confidential Infoline 0300 123 3393 or you can text 86"
What does it mean to be sectioned?,"Being sectioned means that you are kept in hospital under the Mental Health Act 1983. You can be sectioned if your own health or safety are at risk, or to protect other people. There are different types of sections, each with different rules to keep you in hospital. How long you have to stay in hospital depends under which section you are hospitalised. Before you can be lawfully sectioned, you will be assessed by a team of health professionals."
What is a personality disorder?,"Personality disorders are a type of mental health problem where your attitudes, beliefs and behaviours cause you longstanding problems in your life. Your experience of personality disorder is unique to you. However, you may often experience difficulties in how you think about yourself and others. You may find it difficult to change these unwanted patterns."
What is post-traumatic stress disorder (PTSD)?,"The term PTSD is used to describe a range of psychological symptoms, which can follow traumatic events. PTSD can be triggered by anything that consciously, or unconsciously, reminds an individual of a specific trauma in their lives. For some people, this is a single, major, significant event – such as a car accident – and for others an ongoing series of events, such as being in conflict zones, or experiencing ab"
Are drugs or therapy better for mental health conditions?,"Different people will find that different treatments help to manage their mental health – whether this is medication, or alternatives such as talking therapies, exercise or a mixtur"
